time,x,y,z
8.297,-0.877213207,-1.504426414,1
8.298,-0.8769113775,-1.503822755,1
8.299,-0.8766092018,-1.5032184036,1
8.3,-0.87630668,-1.5026133601,1
8.301,-0.8760038123,-1.5020076247,1
8.302,-0.8757005988,-1.5014011976,1
8.303,-0.8753970395,-1.500794079,1
8.304,-0.8750931347,-1.5001862693,1
8.305,-0.8747888843,-1.4995777687,1
8.306,-0.8744842887,-1.4989685773,1
8.307,-0.8741793477,-1.4983586955,1
8.308,-0.8738740617,-1.4977481234,1
8.309,-0.8735684307,-1.4971368614,1
8.31,-0.8732624548,-1.4965249096,1
8.311,-0.8729561342,-1.4959122683,1
8.312,-0.8726494689,-1.4952989378,1
8.313,-0.8723424591,-1.4946849183,1
8.314,-0.872035105,-1.4940702099,1
8.315,-0.8717274065,-1.4934548131,1
8.316,-0.871419364,-1.4928387279,1
8.317,-0.8711109774,-1.4922219547,1
8.318,-0.8708022469,-1.4916044938,1
8.319,-0.8704931726,-1.4909863452,1
8.32,-0.8701837547,-1.4903675093,1
8.321,-0.8698739932,-1.4897479864,1
8.322,-0.8695638883,-1.4891277766,1
8.323,-0.8692534402,-1.4885068803,1
8.324,-0.8689426488,-1.4878852976,1
8.325,-0.8686315144,-1.4872630289,1
8.326,-0.8683200371,-1.4866400743,1
8.327,-0.868008217,-1.4860164341,1
8.328,-0.8676960543,-1.4853921085,1
8.329,-0.8673835489,-1.4847670978,1
8.33,-0.8670707012,-1.4841414023,1
8.331,-0.8667575111,-1.4835150222,1
8.332,-0.8664439789,-1.4828879577,1
8.333,-0.8661301045,-1.4822602091,1
8.334,-0.8658158883,-1.4816317766,1
8.335,-0.8655013303,-1.4810026605,1
8.336,-0.8651864305,-1.480372861,1
8.337,-0.8648711892,-1.4797423784,1
8.338,-0.8645556065,-1.479111213,1
8.339,-0.8642396824,-1.4784793649,1
8.34,-0.8639234172,-1.4778468344,1
8.341,-0.8636068109,-1.4772136218,1
8.342,-0.8632898637,-1.4765797273,1
8.343,-0.8629725756,-1.4759451512,1
8.344,-0.8626549469,-1.4753098937,1
8.345,-0.8623369776,-1.4746739551,1
8.346,-0.8620186678,-1.4740373356,1
8.347,-0.8617000178,-1.4734000355,1
8.348,-0.8613810275,-1.4727620551,1
8.349,-0.8610616972,-1.4721233945,1
8.35,-0.860742027,-1.471484054,1
8.351,-0.860422017,-1.4708440339,1
8.352,-0.8601016672,-1.4702033345,1
8.353,-0.859780978,-1.469561956,1
8.354,-0.8594599493,-1.4689198986,1
8.355,-0.8591385813,-1.4682771625,1
8.356,-0.8588168741,-1.4676337482,1
8.357,-0.8584948279,-1.4669896558,1
8.358,-0.8581724427,-1.4663448855,1
8.359,-0.8578497188,-1.4656994376,1
8.36,-0.8575266562,-1.4650533124,1
8.361,-0.8572032551,-1.4644065101,1
8.362,-0.8568795155,-1.463759031,1
8.363,-0.8565554377,-1.4631108753,1
8.364,-0.8562310217,-1.4624620434,1
8.365,-0.8559062677,-1.4618125353,1
8.366,-0.8555811758,-1.4611623515,1
8.367,-0.8552557461,-1.4605114922,1
8.368,-0.8549299788,-1.4598599575,1
8.369,-0.8546038739,-1.4592077478,1
8.37,-0.8542774317,-1.4585548634,1
8.371,-0.8539506522,-1.4579013044,1
8.372,-0.8536235356,-1.4572470712,1
8.373,-0.853296082,-1.456592164,1
8.374,-0.8529682916,-1.4559365831,1
8.375,-0.8526401644,-1.4552803287,1
8.376,-0.8523117005,-1.4546234011,1
8.377,-0.8519829002,-1.4539658005,1
8.378,-0.8516537636,-1.4533075272,1
8.379,-0.8513242907,-1.4526485815,1
8.38,-0.8509944818,-1.4519889636,1
8.381,-0.8506643369,-1.4513286738,1
8.382,-0.8503338561,-1.4506677123,1
8.383,-0.8500030397,-1.4500060794,1
8.384,-0.8496718877,-1.4493437754,1
8.385,-0.8493404003,-1.4486808005,1
8.386,-0.8490085775,-1.448017155,1
